timestamp,economic,commercial air traffic,walmart
12/21/2013 18:30,438.119722332,384.07618908,738.17114094
12/21/2013 18:40,438.119722332,384.07618908,737.961409396
12/21/2013 18:50,438.119722332,384.266271149,740.604026846
12/21/2013 19:00,432.677485597,378.989303333,735.04614094
12/21/2013 19:10,438.119722332,384.266271149,728.271812081
12/21/2013 19:40,432.677485597,378.989303333,726.614932886
12/21/2013 19:50,432.193113652,378.536286782,725.188758389
12/21/2013 20:00,432.193113652,378.536286782,725.188758389
12/21/2013 20:10,432.193113652,378.536286782,725.125838926
12/21/2013 20:20,432.193113652,378.536286782,724.140100671
12/21/2013 20:40,430.644548,377.687341264,719.882550336
12/21/2013 20:50,435.76112092,380.267641264,724.056208054
12/21/2013 21:00,435.76112092,380.267641264,722.986577181
12/21/2013 21:20,433.403888667,379.713140115,722.630033557
12/21/2013 21:30,352.533838392,304.00600977,609.899328859
12/21/2013 22:10,352.954291885,309.826142529,603.628355705
12/21/2013 22:30,352.954291885,309.826142529,611.933724832
12/21/2013 23:00,353.185630544,298.669872874,616.92533557
12/21/2013 23:10,348.730099739,298.669872874,615.666946309
12/21/2013 23:30,348.730099739,298.669872874,616.275167785
12/21/2013 23:40,348.730099739,298.669872874,618.666107383
12/21/2013 23:50,348.730099739,298.669872874,618.309563758
12/22/2013 00:00,356.921571463,303.532034943,625.440436242
12/22/2013 00:10,356.921571463,303.532034943,625.608221477
12/22/2013 00:20,356.921571463,303.532034943,625.545302013
12/22/2013 00:30,356.921571463,303.532034943,625.81795302
12/22/2013 00:40,360.523677274,303.532034943,630.222315436
12/22/2013 00:50,364.46787677,303.532034943,629.509228188
12/22/2013 01:00,364.46787677,303.532034943,628.901006711
12/22/2013 01:10,360.632875701,299.918354253,622.734899329
12/22/2013 01:20,361.746758402,300.893551034,617.911073826
12/22/2013 01:30,358.144652592,300.893551034,620.155201342
12/22/2013 01:40,359.041246799,300.911663678,624.014261745
12/22/2013 02:00,359.041246799,300.911663678,626.090604027
12/22/2013 02:20,359.041246799,300.911663678,625.251677852
12/22/2013 02:30,359.041246799,300.911663678,624.140100671
12/22/2013 02:50,364.701978201,304.718072299,622.063758389
12/22/2013 03:00,364.701978201,304.718072299,622.902684564
12/22/2013 03:10,364.701978201,298.60445046,623.951342282
12/22/2013 03:30,398.557502283,383.401173103,670.281040268
12/22/2013 03:40,390.122891061,403.249668506,682.843959732
12/22/2013 04:00,385.087285854,401.144095862,673.573825503
12/22/2013 04:10,385.087285854,401.144095862,665.583053691
12/22/2013 04:20,385.087285854,401.144095862,664.660234899
12/22/2013 04:30,385.087285854,401.144095862,662.290268456
12/22/2013 04:40,385.087285854,401.144095862,656.753355705
12/22/2013 04:50,385.087285854,401.144095862,655.473993289
12/22/2013 05:00,370.895238371,392.694407931,627.64261745
12/22/2013 05:10,369.78135567,391.719211149,623.825503356
12/22/2013 05:20,369.78135567,391.719211149,617.512583893
12/22/2013 05:30,366.361429266,391.719211149,604.61409396
12/22/2013 05:40,369.78135567,391.719211149,613.003355705
12/22/2013 05:50,369.78135567,391.719211149,612.143456376
12/22/2013 06:00,369.78135567,391.719211149,612.562919463
12/22/2013 06:10,369.78135567,391.719211149,612.038590604
12/22/2013 06:20,366.361429266,391.719211149,603.041107383
12/22/2013 06:40,341.63936519,383.730417126,602.202181208
12/22/2013 06:50,345.949854979,386.867535862,603.984899329
12/22/2013 07:00,361.233976445,386.867535862,605.998322148
12/22/2013 07:10,361.233976445,385.916297586,602.411912752
12/22/2013 07:20,345.949854979,385.916297586,600.33557047
12/22/2013 07:40,342.529928575,385.916297586,595.23909396
